0102, Banco De Venezuela
0156, 100% Banco
0172, Bancamiga Banco Microfinanciero C A
0114, Bancaribe
0171, Banco Activo
0166, Banco Agricola De Venezuela
0175, Banco Bicentenario Del Pueblo
0128, Banco Caroni
0163, Banco Del Tesoro
0115, Banco Exterior
0151, Banco Fondo Comun
0173, Banco Internacional De Desarrollo 
0105, Banco Mercantil
0191, Banco Nacional De Credito
0138, Banco Plaza
0137, Banco Sofitasa
0104, Banco Venezolano De Credito
0168, Bancrece
0134, Banesco
0177, Banfanb
0146, Bangente
0174, Banplus
0108, Bbva Provincial
0157, Delsur Banco Universal
0169, Mi Banco
0178, N58 Banco Digital Banco Microfinanciero S A